曲名,ユニット名,アイドル
Never say never,ソロ,渋谷凛
あんずのうた,ソロ,双葉杏
ショコラ・ティアラ,ソロ,三村かな子
こいかぜ,ソロ,高垣楓
DOKIDOKIリズム,ソロ,城ヶ崎莉嘉
華蕾夢ミル狂詩曲～魂ノ導～,ソロ,神崎蘭子
おねだり Shall We～?,ソロ,前川みく
ましゅまろ☆キッス,ソロ,諸星きらり
TOKIMEKIエスカレート,ソロ,城ヶ崎美嘉
S(mile)ING!,ソロ,島村卯月
Naked Romance,ソロ,小日向美穂
Twilight Sky,ソロ,多田李衣菜
アップルパイ・プリンセス,ソロ,十時愛梨
Angel Breeze,ソロ,川島瑞樹
ミツボシ☆☆★,ソロ,本田未央
お願い！シンデレラ,,渋谷凛,双葉杏,三村かな子,高垣楓,城ヶ崎莉嘉,神崎蘭子,前川みく,諸星きらり,城ヶ崎美嘉,島村卯月,小日向美穂,多田李衣菜,十時愛梨,川島瑞樹,本田未央,日野茜,赤城みりあ,安部菜々,新田美波,輿水幸子,アナスタシア,白坂小梅,緒方智絵里,佐久間まゆ,高森藍子,星輝子,神谷奈緒,北条加蓮,小早川紗枝,堀裕子,姫川友紀,鷺沢文香,宮本フレデリカ,速水奏,市原仁奈,橘ありす,佐々木千枝,上条春菜,及川雫,片桐早苗,大和亜季,水本ゆかり,中野有香,椎名法子,大槻唯,藤本里奈,塩見周子,相葉夕美,一ノ瀬志希,向井拓海,道明寺歌鈴,木村夏樹,上田鈴帆,難波笑美,浜口あやめ,脇山珠美,龍崎薫,櫻井桃華,松永涼,二宮飛鳥,五十嵐響子,三船美優,森久保乃々,佐藤心,依田芳乃,乙倉悠貴,早坂美玲,藤原肇,喜多見柚,関裕美,荒木比奈,村上巴,棟方愛海,結城晴,鷹富士茄子,喜多日菜子,南条光,白菊ほたる,黒埼ちとせ,白雪千夜,久川凪,久川颯,夢見りあむ,遊佐こずえ,佐城雪美,ナターリア,的場梨沙,小関麗奈,砂塚あきら,辻野あかり,桐生つかさ,浅利七海,八神マキノ,西園寺琴歌,望月聖,古賀小春,ライラ,大石泉,イヴ・サンタクロース
熱血乙女A,ソロ,日野茜
Romantic Now,ソロ,赤城みりあ
メルヘンデビュー！,ソロ,安部菜々
ヴィーナスシンドローム,ソロ,新田美波
To my darling…,ソロ,輿水幸子
輝く世界の魔法,,神崎蘭子,アナスタシア,高垣楓,輿水幸子,渋谷凛
Nation Blue,蒼ノ楽団,渋谷凛,高垣楓,神崎蘭子,多田李衣菜,新田美波
ススメ☆オトメ ～jewel parade～,蒼ノ楽団,渋谷凛,高垣楓,神崎蘭子,多田李衣菜,新田美波
Orange Sapphire,トロピカル☆ガールズ,城ヶ崎莉嘉,諸星きらり,城ヶ崎美嘉,本田未央,赤城みりあ
ススメ☆オトメ ～jewel parade～,トロピカル☆ガールズ,城ヶ崎莉嘉,諸星きらり,城ヶ崎美嘉,本田未央,赤城みりあ
アタシポンコツアンドロイド,C5,双葉杏,前川みく,島村卯月,小日向美穂,安部菜々
ススメ☆オトメ ～jewel parade～,C5,双葉杏,前川みく,島村卯月,小日向美穂,安部菜々
エヴリデイドリーム,ソロ,佐久間まゆ
小さな恋の密室事件,ソロ,白坂小梅
風色メロディ,ソロ,緒方智絵里
You're stars shine on me,ソロ,アナスタシア
お散歩カメラ,ソロ,高森藍子
毒茸伝説,ソロ,星輝子
2nd SIDE,ソロ,神谷奈緒
薄荷 -ハッカ-,ソロ,北条加蓮
花簪 HANAKANZASHI,ソロ,小早川紗枝
ミラクルテレパシー,ソロ,堀裕子
We’re the friends!,,渋谷凛,鷺沢文香,高垣楓,安部菜々,緒方智絵里,島村卯月,本田未央,姫川友紀,高森藍子
メッセージ,,渋谷凛,安部菜々,緒方智絵里,島村卯月,本田未央
オルゴールの小箱,Caskets,川島瑞樹,白坂小梅,アナスタシア,神谷奈緒,北条加蓮
ゴキゲンParty Night,Caskets,川島瑞樹,白坂小梅,アナスタシア,神谷奈緒,北条加蓮
絶対特権主張しますっ！,ゼッケンズ,十時愛梨,日野茜,高森藍子,星輝子,堀裕子
ゴキゲンParty Night,ゼッケンズ,十時愛梨,日野茜,高森藍子,星輝子,堀裕子
パステルピンクな恋,サクヤヒメ,三村かな子,輿水幸子,佐久間まゆ,緒方智絵里,小早川紗枝
ゴキゲンParty Night,サクヤヒメ,三村かな子,輿水幸子,佐久間まゆ,緒方智絵里,小早川紗枝
ススメ☆オトメ ～jewel parade～,CINDERELLA PROJECT,島村卯月,渋谷凛,本田未央,双葉杏,三村かな子,城ヶ崎莉嘉,神崎蘭子,前川みく,諸星きらり,多田李衣菜,赤城みりあ,新田美波,緒方智絵里,アナスタシア
Star!!,CINDERELLA PROJECT,島村卯月,渋谷凛,本田未央,双葉杏,三村かな子,城ヶ崎莉嘉,神崎蘭子,前川みく,諸星きらり,多田李衣菜,赤城みりあ,新田美波,緒方智絵里,アナスタシア
夕映えプレゼント,CINDERELLA PROJECT,島村卯月,渋谷凛,本田未央,双葉杏,三村かな子,城ヶ崎莉嘉,神崎蘭子,前川みく,諸星きらり,多田李衣菜,赤城みりあ,新田美波,緒方智絵里,アナスタシア
Bright Blue,ソロ,鷺沢文香
気持ちいいよね 一等賞！,ソロ,姫川友紀
き・ま・ぐ・れ☆Cafe au lait!,ソロ,宮本フレデリカ
Hotel Moonside,ソロ,速水奏
みんなのきもち,ソロ,市原仁奈
Memories,LOVE LAIKA,新田美波,アナスタシア
lilac time,ソロ,相葉夕美
-LENGE- 仇なす剣 光の旋律,Rosenburg Engel,神崎蘭子
Happy×2 Days,CANDY ISLAND,双葉杏,三村かな子,緒方智絵里
LET’S GO HAPPY!!,凸レーション,諸星きらり,城ヶ崎莉嘉,赤城みりあ
OωOver!!,＊（Asterisk）,前川みく,多田李衣菜
GOIN’!!!,CINDERELLA PROJECT,島村卯月,渋谷凛,本田未央,双葉杏,三村かな子,城ヶ崎莉嘉,神崎蘭子,前川みく,諸星きらり,多田李衣菜,赤城みりあ,新田美波,緒方智絵里,アナスタシア
できたてEvo! Revo! Generation!,new generations,島村卯月,渋谷凛,本田未央
Nocturne,,高垣楓,川島瑞樹,松永涼,速水奏,新田美波
私色ギフト,凸レーション with 城ヶ崎美嘉,諸星きらり,城ヶ崎莉嘉,赤城みりあ,城ヶ崎美嘉
夢色ハーモニー,CINDERELLA PROJECT,島村卯月,渋谷凛,本田未央,双葉杏,三村かな子,城ヶ崎莉嘉,神崎蘭子,前川みく,諸星きらり,多田李衣菜,赤城みりあ,新田美波,緒方智絵里,アナスタシア
shabon song,,城ヶ崎美嘉,小日向美穂,赤城みりあ,相葉夕美,上条春菜
